stock,datetime,dir
331,2024-11-03 15:20,SB
308,2024-11-05 11:20,NB
452,2024-11-05 22:25,SB
254,2024-11-07 15:41,EB
337,2024-11-07 16:26,NB
105,2024-11-08 21:30,YV
318,2024-11-08 22:57,SB
317,2024-11-08 22:57,SB
329,2024-11-08 23:09,SB
337,2024-11-09 09:37,NB
083,2024-11-09 24:22,SB
454,2024-11-10 10:20,NB
460,2024-11-10 12:01,NB
405-8,2024-11-10 15:43,SB
301-2,2024-11-10 16:00,NB
089,2024-11-10 22:15,SB
303-4,2024-11-11 10:04,NB
460,2024-11-11 13:23,NB
405,2024-11-11 14:02,SB
248,2024-11-11 14:15,WB
307,2024-11-11 14:51,NB
323-4,2024-11-11 21:03,SB
339-40,2024-11-12 07:05,NB
401,2024-11-12 16:29,SB
115,2024-11-15 22:13,WF
417-20,2024-11-15 22:48,SB
118,2024-11-21 16:31,WF
218,2024-11-21 16:31,WF
050,2024-11-21 17:00,SB
441-4,2024-11-21 20:37,NB
405-8,2024-11-22 15:30,SB
014,2024-11-22 15:34,SB
146,2024-11-22 15:39,SB
441-4,2024-11-22 15:45,SB
017,2024-11-22 17:07,NB
061,2024-11-22 20:14,NB
453-6,2024-11-22 21:16,SB
477-80,2024-11-23 11:30,NB
413-6,2024-11-23 12:55,SB
118,2024-11-23 15:44,SB
238,2024-11-23 17:00,WB
103,2024-11-23 17:44,WF
203,2024-11-23 17:44,WF
127,2024-11-23 20:07,WF
227,2024-11-23 20:07,WF
153,2024-11-23 20:40,SB
087,2024-11-24 11:57,NB
112,2024-11-24 17:54,RB
212,2024-11-24 17:54,RB
101,2024-11-24 18:04,RB
201,2024-11-24 18:04,RB
222,2024-11-24 18:57,RB
122,2024-11-24 18:57,RB
323-4,2024-11-24 19:58,NB
473-6,2024-11-25 17:18,NB
201,2024-11-25 17:45,RB
101,2024-11-25 17:45,RB
031,2024-11-25 21:20,SB
477-80,2024-11-25 21:33,NB
453-6,2024-11-25 21:50,SB
034,2024-11-25 22:20,NB
473-6,2024-11-26 12:31,NB
329-30,2024-11-26 17:48,NB
413-6,2024-11-26 17:56,SB
023,2024-11-26 19:14,SB
445-8,2024-11-26 20:01,NB
343-4,2024-11-26 21:04,SB
032,2024-11-27 11:37,NB
220,2024-11-27 15:14,YV
120,2024-11-27 15:14,YV
102,2024-11-29 19:14,WF
102,2024-11-29 19:14,WF
450??,2024-11-29 20:20,SB
335-6,2024-11-30 12:51,NB
441-4,2024-11-30 13:17,NB
405-8,2024-11-30 14:51,NB
016,2024-11-30 15:06,SB
417-20,2024-11-30 15:17,NB
116,2024-11-30 16:08,SB
052,2024-11-30 18:21,NB
061,2024-11-30 18:24,NB
337-8,2024-11-30 18:58,NB
105,2024-11-30 19:27,RB
205,2024-11-30 19:27,RB
104,2024-11-30 20:11,RB
204,2024-11-30 20:11,RB
044,2024-11-30 21:23,NB
331-2,2024-12-01 08:56,SB
231-2,2024-12-01 09:21,WB
429-32,2024-12-01 09:41,XX
425?,2024-12-01 09:45,SB
088,2024-12-02 16:39,NB
441-4,2024-12-02,16:51,SB
045,2024-12-02 17:08,SB
441-4,2024-12-02 21:30,NB
313-4,2024-12-02 21:42,SB
405-8,2024-12-02 22:05,NB
347-8,2024-12-03 07:21,SB
452? 7:30am
